TransactionID,CustomerID,Amount,TransactionType,Location,DeviceType,TimeOfDay,PreviousFraud,TransactionSpeed,Fraud
1,4174,3623.0441711184776,Withdrawal,Houston,Laptop,Morning,0,18.002612363364925,0
2,4507,,Deposit,Miami,Mobile,Morning,0,20.276396300201082,0
3,1860,8760.570891640187,Purchase,Houston,ATM,Morning,0,39.38977991140985,0
4,2294,7833.768689988749,Purchase,Miami,Laptop,Morning,0,58.910736718162035,0
5,2130,1689.499795001274,Purchase,Los Angeles,Mobile,Afternoon,0,13.060114230486874,0
6,2095,5127.483033123843,Purchase,Chicago,Mobile,Afternoon,0,22.115478642654352,0
7,4772,4878.874331133236,Transfer,New York,POS,Morning,0,23.082344876939928,0
8,4092,6254.66461133842,Transfer,Los Angeles,Laptop,Afternoon,0,32.222803412199056,0
9,2638,9462.4070709727,Withdrawal,Houston,Mobile,Morning,0,50.269764294016795,0
10,3169,5801.916703207172,Purchase,Miami,ATM,Afternoon,0,43.809056271181674,0
11,1466,5406.7704951184,Transfer,Chicago,POS,Afternoon,0,13.119460207694917,0
12,2238,512.7261000172928,Transfer,Miami,ATM,Afternoon,0,43.051662146890344,0
13,1330,638.4456854200591,Transfer,Houston,Mobile,Morning,1,8.43737583111405,0
14,2482,1881.594445354621,Purchase,Houston,POS,Morning,0,12.315196799285898,0
15,3135,334.3830092005653,Transfer,New York,Laptop,Afternoon,0,24.23204017509407,0
16,4444,7436.095426744424,Deposit,Los Angeles,POS,Night,0,21.342801267481022,0
17,4171,7236.069736899692,Purchase,Chicago,POS,Afternoon,1,52.31625235243695,1
18,3919,1369.201781972113,Purchase,New York,ATM,Morning,0,59.82339946768874,0
19,4735,8362.428218944857,Deposit,Miami,Laptop,Night,0,12.982977760158102,0
20,1130,1556.3124881126587,Withdrawal,Los Angeles,Mobile,Morning,0,39.787916536236196,0
21,2685,,Withdrawal,Chicago,ATM,Night,0,35.36427385267474,0
22,4380,2497.2792226220363,Purchase,Miami,Laptop,Night,0,46.38955434044853,0
23,1769,3729.3479147447474,Purchase,Chicago,Mobile,Morning,0,42.2811917720125,0
24,3391,2554.091021240719,Purchase,Chicago,POS,Afternoon,0,17.254312066249295,0
25,2515,4894.619755120136,Deposit,Los Angeles,Laptop,Morning,1,50.605718210089286,0
26,4485,4080.0047347333075,Transfer,Miami,ATM,Morning,0,29.251852476052935,0
27,3853,9865.829212885472,Deposit,New York,Mobile,Afternoon,0,56.04366851908223,0
28,3433,568.7042377809744,Transfer,New York,Mobile,Afternoon,0,34.05846134557034,0
29,2215,1430.3919501096427,Transfer,New York,Laptop,Night,1,18.158082464559758,1
30,1955,537.7306801469388,Withdrawal,Chicago,Laptop,Night,0,53.87491852781192,0
31,3324,6262.1535378739345,Deposit,Houston,POS,Afternoon,0,49.74904143957569,0
32,2184,554.5476813630586,Deposit,Los Angeles,Mobile,Morning,1,56.86935413637935,0
33,1459,8366.032976387472,Purchase,New York,POS,Afternoon,0,53.718595066722784,0
34,4385,5124.2669205124585,Deposit,Los Angeles,POS,Afternoon,1,15.466765828293655,1
35,1021,5274.806169569521,Transfer,Chicago,ATM,Afternoon,0,49.103198084646365,0
36,3300,5620.32913204482,Transfer,Los Angeles,ATM,Morning,1,36.05693095439151,0
37,1747,1716.4289259990453,Deposit,New York,Laptop,Morning,0,24.795686173558288,0
38,3904,1984.9261281137306,Withdrawal,New York,Laptop,Night,1,1.4501425071576173,1
39,4632,,Withdrawal,Chicago,Laptop,Afternoon,0,42.15954894424603,0
40,1474,,Purchase,Chicago,ATM,Afternoon,0,51.37931670490255,0
41,2082,2109.076581642743,Purchase,Miami,POS,Morning,1,36.64586322529346,1
42,3558,1172.1539540612796,Transfer,Chicago,POS,Afternoon,0,19.332507990101327,0
43,4753,9701.467695320138,Deposit,Houston,ATM,Morning,0,4.400762219119796,0
44,3047,229.59832994813289,Transfer,Houston,Laptop,Night,0,39.87959319933557,0
45,4547,8028.947079306856,Transfer,New York,Laptop,Night,0,24.819950044971378,0
